Corner,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,temperature,vcontrol,vdd,Pass/Fail,Frequency
C0_101,ss,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.78,,1.183e9
C0_137,ss,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.78,,1.183e9
C0_104,ss,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.8,,1.199e9
C0_140,ss,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.8,,1.199e9
C0_107,ss,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.82,,1.214e9
C0_143,ss,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.82,,1.214e9
C0_29,ss,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.78,,1.216e9
C0_65,ss,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.78,,1.216e9
nom,tt_rfres_sa,tt_rfmvar,tt_rfmim,tt_res,tt_bip,tt_bip3,tt_dio3,tt_3v,tt_na,tt_dio,tt_dio_m,tt_rfind,tt_rtmom,tt_dio_3m,tt_bbmvar,tt_rfres_hri,tt_3vna,tt_dio_dnw,tt_3m,tt_rfjvar,tt_rfmos,tt_rfsbd,tt_rfmvar_33,tt_disres,tt_rfmos33,tt_rffmom,stat_noise,tt,tt_rfesd,tt_mim,tt_fmom,tt_rfres_rpo,tt_m,27,1,1.8,,1.223e9
C0_32,ss,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.8,,1.233e9
C0_68,ss,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.8,,1.233e9
C0_35,ss,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.82,,1.249e9
C0_71,ss,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.82,,1.249e9
C0_100,ss,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.78,,1.265e9
C0_136,ss,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.78,,1.265e9
C0_103,ss,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.8,,1.282e9
C0_139,ss,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.8,,1.282e9
C0_106,ss,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.82,,1.299e9
C0_142,ss,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.82,,1.299e9
C0_99,ss,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,0,1.8,1.78,,1.302e9
C0_135,ss,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,0,1.8,1.78,,1.302e9
C0_28,ss,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.78,,1.309e9
C0_64,ss,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.78,,1.309e9
C0_102,ss,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,0,1.8,1.8,,1.32e9
C0_138,ss,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,0,1.8,1.8,,1.32e9
C0_31,ss,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.8,,1.327e9
C0_67,ss,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.8,,1.327e9
C0_105,ss,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,0,1.8,1.82,,1.337e9
C0_141,ss,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,0,1.8,1.82,,1.337e9
C0_34,ss,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.82,,1.346e9
C0_70,ss,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.82,,1.346e9
C0_27,ss,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,0,1.8,1.78,,1.355e9
C0_63,ss,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,0,1.8,1.78,,1.355e9
C0_30,ss,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,0,1.8,1.8,,1.374e9
C0_66,ss,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,0,1.8,1.8,,1.374e9
C0_33,ss,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,0,1.8,1.82,,1.393e9
C0_69,ss,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,0,1.8,1.82,,1.393e9
C0_92,sf,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.78,,1.394e9
C0_128,sf,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.78,,1.394e9
C0_95,sf,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.8,,1.406e9
C0_131,sf,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.8,,1.406e9
C0_83,fs,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.78,,1.41e9
C0_119,fs,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.78,,1.41e9
C0_98,sf,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.82,,1.417e9
C0_134,sf,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.82,,1.417e9
C0_86,fs,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.8,,1.424e9
C0_122,fs,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.8,,1.424e9
C0_89,fs,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.82,,1.439e9
C0_125,fs,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.82,,1.439e9
C0_20,sf,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.78,,1.439e9
C0_56,sf,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.78,,1.439e9
C0_11,fs,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.78,,1.448e9
C0_47,fs,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.78,,1.448e9
C0_23,sf,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.8,,1.452e9
C0_59,sf,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.8,,1.452e9
C0_14,fs,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.8,,1.464e9
C0_50,fs,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.8,,1.464e9
C0_26,sf,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.82,,1.465e9
C0_62,sf,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.82,,1.465e9
C0_17,fs,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.82,,1.479e9
C0_53,fs,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.82,,1.479e9
C0_91,sf,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.78,,1.499e9
C0_127,sf,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.78,,1.499e9
C0_82,fs,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.78,,1.507e9
C0_118,fs,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.78,,1.507e9
C0_94,sf,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.8,,1.514e9
C0_130,sf,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.8,,1.514e9
C0_85,fs,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.8,,1.525e9
C0_121,fs,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.8,,1.525e9
